mother,mother_long,father,Y,SCA,trait
M3,VK934A,LI39,3.676637755102041,0.229740132845591,seed_yield
M3,VK934A,LI4,2.792433673469388,-0.3782241528686949,seed_yield
M3,VK934A,LI40,2.673918367346939,-0.1848414998074705,seed_yield
M3,VK934A,LI41,3.362816326530612,-0.2111782345013484,seed_yield
M3,VK934A,LI42,3.455142857142857,0.4032962552945704,seed_yield
M3,VK934A,LI43,3.284693877551021,0.1224697246823254,seed_yield
M3,VK934A,LI44,2.8159591836734696,-0.060555785521756,seed_yield
M3,VK934A,LI45,3.112469387755102,-0.1474078263380827,seed_yield
M3,VK934A,LI46,3.802698979591837,0.4763880920292647,seed_yield
M3,VK934A,LI47,2.54475,-0.4715863977666545,seed_yield
M3,VK934A,LI48,3.276260204081633,0.0560360512129376,seed_yield
M3,VK934A,LI49,2.902515306122449,0.1258727859068154,seed_yield
M3,VK934A,LI5,2.773790816326531,0.1257248267231419,seed_yield
M3,VK934A,LI50,3.28336224489796,0.1122605410088559,seed_yield
M3,VK934A,LI51,3.0951581632653067,-0.0389537447054291,seed_yield
M3,VK934A,LI52,3.2074591836734694,-0.0120251732768581,seed_yield
M3,VK934A,LI53,3.566112244897959,-0.0505685406237974,seed_yield
M3,VK934A,LI54,3.7281275510204086,0.3125972757027337,seed_yield
M3,VK934A,LI6,3.453811224489796,-0.193423132460532,seed_yield
M3,VK934A,LI7,3.4422704081632656,0.3843574797843661,seed_yield
M3,VK934A,LI8,3.11069387755102,-0.1675302753176741,seed_yield
M3,VK934A,LI9,3.306,0.3882044185598765,seed_yield
M1,VK101A,LI1,47.46666666666667,-0.5248427672955955,oil_content
M1,VK101A,LI10,50.866666666666674,1.2862683438155216,oil_content
M1,VK101A,LI11,51.78333333333333,1.1084905660377302,oil_content
M1,VK101A,LI12,48.5,0.058490566037733,oil_content
M1,VK101A,LI13,50.41666666666667,-0.924842767295594,oil_content
M1,VK101A,LI14,50.4,-0.4803983228511512,oil_content
M1,VK101A,LI15,49.9,-0.5415094339622613,oil_content
M1,VK101A,LI16,51.53333333333334,0.4084905660377416,oil_content
M1,VK101A,LI17,52.46666666666667,0.7029350104821859,oil_content
M1,VK101A,LI18,52.71666666666667,1.141823899371076,oil_content
M1,VK101A,LI19,52.7,0.5196016771488416,oil_content
