hybrid,seed_yield,oil_content,seed_weight_1000,oil_yield,plant_height,head_diameter
VK934A_LI3,3.4900456850493047,49.376050138733774,71.90698548007592,1.7232467073146591,169.06983950283643,18.367688647297346
VK934A_LI30,2.616592874822741,42.34489904278934,104.71785121289818,1.107993611204509,171.69211118199354,17.04180361467264
VK934A_LI31,2.978115355404068,47.40484442309373,80.42596086800243,1.4117709509695633,182.04093685531817,18.47383956380657
VK934A_LI32,2.7518995342216006,50.64879713623365,70.24162187040608,1.3938040124808573,169.42631322158866,16.993735275121292
VK934A_LI33,3.480984971250274,49.500220577514256,80.00961996558499,1.7230952390390066,166.1210312446046,17.79869788556263
VK934A_LI34,3.071440707534084,49.26740100480086,82.47563915682689,1.51321901000551,170.84444661594043,17.518481315223518
VK934A_LI35,3.130335347227784,48.56894228666068,71.47463146602703,1.5203707681740015,172.54587405427725,18.31160891782077
VK934A_LI36,3.0104319012872773,47.88600487336807,82.61975716150984,1.441575566959853,156.7207693858757,17.638652164101888
VK934A_LI37,3.4365874736350235,49.84168928416056,71.57071013581566,1.7128532505875516,175.45476612627243,18.53392498824576
VK934A_LI38,2.9584838088395014,51.71976717071525,65.67788505544544,1.5301209377150986,170.57002283556352,17.47041297567217
VK934A_LI39,3.5326310399047496,50.043466247178834,75.89425027630469,1.7678510220920962,167.1971050985674,18.597287799472536
VK934A_LI4,2.930999643649108,49.51574188236181,77.30340409987154,1.4513062181222367,158.89786471019917,16.755396424845856
VK934A_LI40,2.850359290837734,51.129957586508,70.09750386572311,1.4573874964684237,161.74854567726592,17.515203928435923
VK934A_LI41,3.3194022418342257,50.65676423357041,78.72857103506975,1.6815017676098143,168.17338848693856,18.14937827183497
VK934A_LI42,3.3819211670475378,50.09003016172151,70.9461987821895,1.6940053326197555,179.2135403302228,18.129167719978152
VK934A_LI43,3.2659440304199445,47.04785441159986,72.97986395938244,1.5365565925963118,179.68089234407677,18.99658275642749
VK934A_LI44,2.9470069046940623,49.32948622419109,64.74912458082187,1.4537433650770175,177.96116998704818,17.620626536770132
VK934A_LI45,3.1487587986191468,50.18775423032967,77.9119023418662,1.5802913271568584,177.9062852309728,17.854959692082957
VK934A_LI46,3.61840579720224,49.5933484065996,81.49883934730897,1.7944885937711046,183.13863197682576,18.38971996959172
VK934A_LI47,2.762470366987136,47.74631312974003,74.86941113189248,1.3189777515379564,186.5231919348076,17.854959692082957
VK934A_LI48,3.260205578347225,49.28292230964842,72.78770661980518,1.606724582311687,189.413789088111,18.20345515383024
VK934A_LI49,3.005901544387762,51.45590498830674,63.70827232477821,1.5467138427222118,164.66076409811416,17.58457528210662
VK934A_LI5,2.918314644330465,50.633275831386094,77.06320742539988,1.4776383034915783,161.22131938405695,18.22748932360591
VK934A_LI50,3.265037959040041,47.46692964248396,85.88643193432382,1.5498132708179306,181.4189096197972,17.46440443322825
VK934A_LI51,3.136979870680407,50.22972190534954,73.63640153627156,1.5756962652695623,180.5834416662053,18.45581393647481
VK934A_LI52,3.2133918903855663,49.733040150227644,81.48282623567752,1.5981174790296129,172.45439946081828,18.113327017171457
VK934A_LI53,3.457427115372794,50.29180712473978,79.56125283990468,1.73880257634174,181.42500792602772,19.032634011091
VK934A_LI54,3.567665799927668,45.99240568196581,83.93283231528798,1.640855328079484,167.4415917392668,18.31561461278338
VK934A_LI6,3.381015095667635,48.36716532364241,86.25473350184696,1.6353011609388717,175.65601023188216,18.20345515383024
VK934A_LI7,3.3731624770418085,50.88161670894704,70.67397588445496,1.7163196025384369,170.38707364864558,18.271551968194647
VK934A_LI8,3.1475507034459427,50.07450885687395,74.40503089458073,1.576120555771637,170.08825664334628,18.38771712211041
VK934A_LI9,3.280441172498393,47.46692964248396,79.88151507253349,1.5571247033128883,158.824685035432,18.00517325318092
